2017 3 7,"7 M   Sf. Mc. Ep. din Cherson: Vasilevs, Efrem, Evghenie, Capiton, Eterie, Agatodor şi Elpidie	(Post)"
2017 3 8,"8 M   Sf. Ier. Teofilact Mărt., Ep. Nicomidiei; Sf. Ier. Pavel Mărt.; Sf. Mc. Dometie	(Post)"
2017 3 9,"9 J   † Sf. 40 de Mc. din Sevastia; Sf. Mc. Urpasian	(Dezlegare la ulei şi vin)"
2017 3 10,"10 V   Sf. Mc. Codrat, Ciprian şi Dionisie	(Post)"
2017 3 11,"11 S   Sf. Ier. Sofronie, Patr. Ierusalimului; Sf. Mc. Trofin şi Talul Sf. Sfintit Mc.Pionie	(Sâmbăta a II-a din Post - Pomenirea morților) (Dezlegare la ulei şi vin)"
2017 3 12,"<r>12 D   Sf. Cuv. Teofan Mărt.; Sf. Grigorie Dialogul, Ep. Romei; Sf. Cuv. Simeon Noul Teolog	(Dezlegare la ulei şi vin) <br><b>Duminica a II-a din Post</b>	(a Sf. Grigorie Palama; Vindecarea slăbănogului din Capernaum); Ap. Evrei I, 10-14; II, 1-3; VII, 26-28; VIII, 1-2; Ev. Marcu II, 1-12; Ioan X, 9-16; glas 5, voscr. 5</r>"
2017 3 13,"13 L   Aducerea moaştelor Sf. Ier. Nichifor, Patr. Constantinopolului; Sf. Mc. Hristina din Persia	(Post)"
2017 3 14,"14 M   Sf. Cuv. Benedict din Nursia; Sf. Mc. Alexandru din Pidna	(Post)"
2017 3 15,"15 M   Sf. Mc. Agapie, Plisie şi Tirmolau	(Post)"
2017 3 16,"16 J   Sf. Mc. Sabin Egipteanul, Papa şi Roman, Sf. Cuv. Anin; Sf. Cuv Hristodul din Patmos	(Post)"
2017 3 17,"17 V   Sf. Cuv. Alexie, omul lui Dumnezeu; Sf. Mc. Marin; Sf. Cuv. Teostirict imnograful	(Post)"
2017 3 18,"18 S   Sf. Chiril, Arhiep. Ierusalimului; Sf. Mc. Trofim şi Evcarpion	(Sâmbăta a III-a din Post - Pomenirea morților) (Dezlegare la ulei şi vin)"
2017 3 19,"<r>19 D   Sf. Mc. Hrisant, Daria şi Ilaria; Sf. Mc. Marian diaconul	(Dezlegare la ulei şi vin) <br><b>Duminica a III-a din Post</b>	(a Sf. Cruci); Ap. Evrei IV, 14-16; V, 1-6; Ev. Marcu VIII, 34-38; IX, 1; glas 6, voscr. 6</r>"
2017 3 20,"20 L   Sf. Cuv. Mc. ucişi în M-rea Sf. Sava cel Sfinţit; Sf. Ier. Nichita Mărturisitorul	(Post)"
2017 3 21,"21 M   Sf. Ier. Iacob Mărturisitorul; Sf. Ier. Toma; Sf. Cuv. Serapion	(Post)"
2017 3 22,"22 M   Sf. Sf. Cuv. Mc. Vasile, preotul din Ancira; Sf. Drosida, fiica împăratului Traian	(Post)"
2017 3 23,"23 J   Sf. Sf. Cuv. Mc. Nicon şi cei 199 ucenici ai lui	(Post)"
2017 3 24,"24 V   Înainteprăznuirea Bunei Vestiri; Sf. Cuv. Zaharia; Sf. Ier. Artemon	(Post)"
2017 3 25,"<r>25 S   (†) Buna Vestire (Blagoveştenia)	(Sâmbăta a IV-a din Post - Pomenirea morților) (Dezlegare la peşte)</r>"
2017 3 26,"<r>26 D   Soborul Sf. Arhanghel Gavriil;</r> <a>Sf. Mc. Montanus pr. şi soţia sa Maxima;</a> <r>Sfintii 26 de Mc. din Goţia	(Odovania Praznicului Bunei Vestiri) (Dezlegare la ulei şi vin) <br><b>Duminica a IV-a din Post</b>	(a Sf. Ioan Scărarul; Vindecarea fiului lunatic); Ap. Evrei VI, 13-20; Efeseni V, 8-19; Ev. Marcu IX, 17-32; Matei IV, 25; V, 1-12; glas 7, voscr. 7</r>"
2017 3 27,"27 L   Sf. Mc. Matroana din Tesalonic; Sf. Prooroc Anania; Sf. Mc. Filit, Lidia şi fiii lor	(Post)"
2017 3 28,"28 M   Sf. Cuv. Ilarion cel Nou; Sf. Cuv. Ştefan, făcătorul de minuni	(Post)"
2017 3 29,"29 M   Sf. Cuv. Mc. Marcu, Ep. Aretuselor; Sf. Mc. Chiril diac.; Sf. Mc. Iona si Varahisie	(Denia Canonului cel Mare) (Post)"
2017 3 30,"30 J   Sf. Cuv. Ioan Scărarul; Sf. Prooroc Ioad; Sf. Euvula	(Dezlegare la ulei şi vin)"
2017 3 31,"31 V   Sf. Mc. Ipatie, Ep. Gangrei; Sf. Acachie Mărt., Ep. Melitinei; Sf. Mc. Veniamin diac.	(Denia Acatistului Bunei Vestiri) (Post)"

2017 4 1,"1 S   Sf. Cuv. Maria Egipteanca; Sf. Cuv. Macarie Mărt.; Sf. Mc. Gherontie	(Sâmbăta a V-a din Post - Pomenirea morților) (Dezlegare la ulei şi vin)"
2017 4 2,"<r>2 D   Sf. Cuv. Tit, făcătorul de minuni; Sf. Mc. Amfian şi Edesie	(Dezlegare la ulei şi vin) <br><b>Duminica a V-a din Post</b>	(a Cuv. Maria Egipteanca); Ap. Evrei IX, 11-14; Galateni III, 23-29; Ev. Marcu X, 32-45; Luca VII, 36-50; glas 8, voscr. 8</r>"
2017 4 3,"3 L   Sf. Cuv. Nichita Mărturisitorul si Ilirie; Sf. Mc. Elpidifor	(Post)"
2017 4 4,"4 M   Sf. Cuv. Gheorghe de la Maleon, Zosima şi Platon; Iosif, imnograful	(Post)"
2017 4 5,"5 M   Sf. Mc. Claudie, Diodor, Nichifor, Serapion, Teodul şi Agatopod	(Post)"
2017 4 6,"6 J   <a>Sf. Mc. Irineu, Ep. de Sirmium;</a> Sf. Eutihie, Patr. Constantinopolului; Sf. Cuv. Platonida; Sf. Cuv. Grigorie Sinaitul şi Platonida	(Post)"
2017 4 7,"7 V   Sf. Mc. Gheorghe Mărturisitorul, Ep. Mitilenei; Sf. Mc. Caliopie, Achilina şi Rufin diac.	(Post)"
2017 4 8,"8 S   Sf. Ap. Irodion, Agav, Ruf, Flegon, Asincrit şi Hermas; Sf. Ier. Celestin, episcopul Romei	(Sâmbăta lui Lazăr - Pomenirea morților) (Dezlegare la ulei şi vin)"
2017 4 9,"<r>9 D   Sf. Mc. Eupsihie din Cezareea; Sf. Mc. Vadim arhim.	(Denia Sf. și Marii Luni) (Dezlegare la peşte) <br><b>(†) Intrarea Domnului în Ierusalim</b>	(Duminica a VI-a din Post - a Floriilor); Ap. Filipeni IV, 4-9; Ev. Ioan XII, 1-18</r>"
2017 4 10,"10 L   Sf. și Marea Luni; Sf. Mc. Terentie, Pompie, African şi Maxim; Sf. Mc. Dima	(Denia Sf. și Marii Marți) (Numai seara, pâine şi apă)"
2017 4 11,"11 M   Sf. și Marea Marți; <a>†) Sf. Ier. Calinic de la Cernica, ep. Ramnicului;</a> Sf. Sfinţit Mc. Antipa; Sf. Cuv. Trifina	(Denia Sf. și Marii Miercuri) (Numai seara, pâine şi apă)"
2017 4 12,"12 M   Sf. și Marea Miercuri; <a>†) Sf. Mc. Sava de la Buzău;</a> Sf. Ier. Vasile Mărturisitorul; Sf. Antuza	(Denia Sf. și Marii Joi) (Numai seara, pâine şi apă)"
2017 4 13,"13 J   Sf. și Marea Joi; Sf. Sfinţit Mc. Artemon; Sf. Mc. Elefterie Persul	(Pomenirea morților - Denia celor 12 Evanghelii, a Sf. și Marii Vineri) (Dezlegare la ulei şi vin)"
2017 4 14,"14 V   Sf. și Marea Vineri - Scoaterea Sf. Aer; <a>†) Sf. Ier. Pahomie de la Gledin, Ep. Romanului;</a> Sf. Martin Mărt., Ep. Romei; Sf. Mc. Tomaida	(Denia Prohodului Domnului, a Sf. și Marii Sâmbete) (Zi aliturgică) (Post negru)"
2017 4 15,"15 S   Sf. și Marea Sâmbătă; Sf. Ap. Aristarh, Pud şi Trofim; Sf. Mc. Crescent şi Vasilisa	(Post negru)"
2017 4 16,"<r>16 D   (Vecernia Învierii) <br><b>(†) Învierea Domnului (Sfintele Paști)</b>; Ap. Fapte I, 1-8; Ev. Ioan I, 1-17</r>"
2017 4 17,"<r>17 L   (†) A doua zi de Paști (Mărturia lui Ioan Botezătorul); Sf. Mc. Simeon, Ep. Persiei; Sf. Acachie, Ep. Melitinei</r>"
2017 4 18,"<r>18 M   (†) A treia zi de Paști (Drumul spre Emaus); Sf. Cuv. Ioan, ucenicul Sf. Grigorie Decapolitul; Sf. Ier. Cosma, Ep. Calcedonului; Sf. Mc Ioan din Ianina</r>"
2017 4 19,"19 M   Sf. Cuv. Ioan Paleolavritul; Sf. Sfinţit Mc. Pafnutie	(Harţi)"
2017 4 20,"20 J   <a>† Sf. Teotim, Ep. Tomisului;</a> Sf. Cuv. Teodor Trihina Atanasie si Ioasaf; Sf. Ap. Zaheu"
2017 4 21,"<r>21 V   †) Izvorul Tămăduirii; Sf. Sfinţit Mc. Ianuarie; Sf. Mc. Alexandra, împărăteasa; Sf. Mc. Filipial; Sf. Mc. Teodor din Perga (Harţi)</r>"
2017 4 22,"22 S   Sf. Ier. Teodor Sicheotul, Ep. Anastasiopolei; Sf. Ap. Natanail"
